name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
OV Dra,192.59938,12.83995867,66.92375,20.7,19,1.7,EA,0.0587357,340309,ALGOL STAR
BS Cnc,129.78792,8.652528,19.59239,8.48,8.5,0.02,DSCTC,0.058741,120096,STAR A9V
NZ Boo,225.67087,15.04472467,33.57319,19.6,13.7,5.9,UGSU+E,0.05890947,90301,CV DWARF NOVA U GEM TYPE
V2821 Oph,278.02321,18.53488067,7.24894,11.89,11.9,0.01,DSCTC:,0.05936,592821,STAR
V586 Aur,72.7705,4.851366667,43.77983,12.01,12.05,0.04,DSCTC:,0.05963,80586,STAR
HT Peg,358.15458,23.876972,10.94733,5.39,5.3,0.09,DSCTC,0.06,620220,STAR A4V
V2498 Cyg,291.01558,19.40103867,29.67544,11.36,11.43,0.07,DSCTC,0.06,312498,STAR
V379 Com,198.20117,13.21341133,18.24289,18.84,18.71,0.13,SXPHE,0.06019,250379,STAR
V3002 Cyg,307.79817,20.519878,51.18628,11.29,11.25,0.04,DSCTC,0.06023,313002,STAR
V1228 Tau,56.85025,3.790016667,24.58842,7.69,7.71,0.02,DSCTC,0.0603,781228,STAR A4V
V1441 Her,270.71879,18.04791933,21.53081,13.58,13,0.58,DSCT,0.0604653,401441,STAR
V1001 Mon,98.9985,6.5999,7.75769,12.29,12.33,0.04,DSCTC,0.06047,551001,STAR
FL Cet,28.93075,1.928716667,0.46867,9.6,15.5,5.9,E+XM,0.06051621,210175,X-RAY BINARY
BV Cnc,130.13733,8.675822,19.19433,8.63,8.65,0.02,DSCTC,0.060789,120099,STAR F0V
V552 Aur,93.54087,6.236058,45.50236,14.5,11.2,3.3,AM:,0.060868,80552,STAR K0
CY Aqr,339.44937,22.629958,1.53439,11.2,10.42,0.78,SXPHE,0.061038408,40125,STAR A2
V3446 Oph,272.36508,18.157672,4.48075,15.9,15.4,0.5,DSCT,0.0610848,593446,STAR
V1004 Ori,89.60183,5.973455333,1.83711,5.92,5.88,0.04,DSCTC,0.0611,601004,STAR A5
V552 Dra,247.41792,16.494528,57.34258,13.25,13.09,0.16,DSCT,0.06114265,340552,STAR
V1549 Her,250.38529,16.69235267,36.48108,17.05,16.7,0.35,SXPHE,0.0617536,401549,STAR
V808 And,36.91129,2.460752667,43.24539,13.62,13.28,0.34,SXPHE,0.0620942,10808,STAR
